Refrigerant,Circuit Size,Temp,Capacity,Sporlan,k,,
R-22,'3/16,40,0.490315877,0.400,1,0.490315877,0.090
R-22,'3/16,20,0.384182935,0.300,,0.384182935,0.084
R-22,'3/16,0,0.296118927,0.230,,0.296118927,0.066
R-22,'3/16,-20,0.226123854,0.180,,0.226123854,0.046
R-22,'3/16,-40,0.174197716,0.140,,0.174197716,0.034
R-22,'1/4,40,1.135591425,1.150,,1.135591425,-0.014
R-22,'1/4,20,0.889783233,0.860,,0.889783233,0.030
R-22,'1/4,0,0.685823425,0.660,,0.685823425,0.026
R-22,'1/4,-20,0.523712002,0.510,,0.523712002,0.014
R-22,'1/4,-40,0.403448963,0.400,,0.403448963,0.003
R-22,'5/16,40,2.178417897,2.330,,2.178417897,-0.152
R-22,'5/16,20,1.706881257,1.750,,1.706881257,-0.043
R-22,'5/16,0,1.315622847,1.340,,1.315622847,-0.024
R-22,'5/16,-20,1.004642667,1.040,,1.004642667,-0.035
R-22,'5/16,-40,0.773940716,0.820,,0.773940716,-0.046
R-22,'3/8,40,3.709393666,4.210,,3.709393666,-0.501
R-22,'3/8,20,2.90646461,3.160,,2.90646461,-0.254
R-22,'3/8,0,2.240232722,2.410,,2.240232722,-0.170
R-22,'3/8,-20,1.710698002,1.870,,1.710698002,-0.159
R-22,'3/8,-40,1.31786045,1.480,,1.31786045,-0.162
 , , , ,,,#VALUE!,#VALUE!
R-12,'3/16,40,0.274576891,,,0.274576891,0.275
R-12,'3/16,20,0.215142444,,,0.215142444,0.215
R-12,'3/16,0,0.165826599,,,0.165826599,0.166
R-12,'3/16,-20,0.126629358,,,0.126629358,0.127
R-12,'3/16,-40,0.097550721,,,0.097550721,0.098
R-12,'1/4,40,0.635931198,,,0.635931198,0.636
R-12,'1/4,20,0.49827861,,,0.49827861,0.498
R-12,'1/4,0,0.384061118,,,0.384061118,0.384
R-12,'1/4,-20,0.293278721,,,0.293278721,0.293
R-12,'1/4,-40,0.225931419,,,0.225931419,0.226
R-12,'5/16,40,1.219914022,,,1.219914022,1.220
R-12,'5/16,20,0.955853504,,,0.955853504,0.956
R-12,'5/16,0,0.736748794,,,0.736748794,0.737
R-12,'5/16,-20,0.562599893,,,0.562599893,0.563
R-12,'5/16,-40,0.433406801,,,0.433406801,0.433
R-12,'3/8,40,2.077260453,,,2.077260453,2.077
R-12,'3/8,20,1.627620182,,,1.627620182,1.628
R-12,'3/8,0,1.254530324,,,1.254530324,1.255
R-12,'3/8,-20,0.957990881,,,0.957990881,0.958
R-12,'3/8,-40,0.738001852,,,0.738001852,0.738
 , , , ,,,#VALUE!,#VALUE!
R-134A,'3/16,40,0.377543226,,,0.377543226,0.378
R-134A,'3/16,20,0.29582086,,,0.29582086,0.296
R-134A,'3/16,0,0.228011574,,,0.228011574,0.228
R-134A,'3/16,-20,0.174115368,,,0.174115368,0.174
R-134A,'3/16,-40,0.134132241,,,0.134132241,0.134
R-134A,'1/4,40,0.874405397,,,0.874405397,0.874
R-134A,'1/4,20,0.685133089,,,0.685133089,0.685
R-134A,'1/4,0,0.528084037,,,0.528084037,0.528
